 10/18强势板块联动复盘
24.10.18    半导体（69）（1218.39亿
股票代码   股票名称    涨跌幅    成交金额     属性
 300489     光智科技     20.00        1.31
 301161     唯万密封     20.00       3.01
 300623     捷捷微电     19.99       58.24
 688536     思瑞浦      12.30       6.08
 300341     麦克奥迪     11.93       13.95
 301307     美利信      11.02       3.47
 603117    万林物流      10.04       3.60
 002199     东晶电子      10.03      573
 600318    新力金融      10.01       9.37
 603268     松发股份      10.01       0.01
 600520    文一科技     10.00       0.96
 002693     双成药业      10.00       11.55
 000702     正虹科技     9.99       2.60
 603038     华立股份     9.99      736
 002778     中晟高科     9.97        1.08
 002708    光洋股份     9.95       6.80
 300859    西域旅游      8.51        6.03
 688582     芯动联科     7.80       4.67
 600246     万通发展     7.17       8.34
 300085     银之杰       7.04       96.84
 300377     赢时胜       7.04       27.41
 24.10.18      低空（13）（219.39亿）
股票代码   股票名称    张跌幅    成交金额     属性
 300542    新晨科技     20.00       16.45
 301366      博科技     20.00       3.65
 688631     莱斯信息     20.00       10.52
 300902      国安达      12.10       2.27
 002542     中化岩士      10.05       2.15
 002583     海能达      10.04       52.03
 600839     四川长虹      10.04       44.91
 603602     纵横通信      10.00       2.03
 001696     宗申动力     9.99       30.92
 600171     上海贝岭      9.99       37.74
 002845     同兴达       9.98       2.98
 605056     成亨国际      9.98       187
 002708     光洋股份      9.95        6.80
