23.06.14,AI-光通信（14）（252.86亿）,,,,,
,股票代码,股票名称,涨跌幅,成交金额,属性,涨幅
,688313,仕佳光子,20,16.92,光芯片,
,688662,富信科技,20,5.89,光模块散热,
,300394,天孚通信,16.62,19.97,光模块,
,688498,源杰科技,14.93,12.12,光芯片,
,300570,太辰光,14.9,18.97,光模块,
,688048,长光华芯,12.99,9.24,光芯片,
,002281,光迅科技,10.01,25.08,光芯片,
,600105,永鼎股份,10.01,18.42,光芯片,
,000936,华西股份,10,2.16,光芯片,
,002725,跃岭股份,9.99,4.07,光芯片,
,300502,新易盛,7.2,44.99,光模块,
,300308,中际旭创,6.58,52,光模块,
,002792,通宇通讯,6.05,6.52,光模块,
,300548,博创科技,5.76,16.51,光模块,
23.06.14,AI-其他硬件（10）（94.85亿）,,,,,
,股票代码,股票名称,涨跌幅,成交金额,属性,涨幅
,688662,富信科技,20,5.89,散热,
,300606,金太阳,13.76,3.22,中科声龙,
,603887,城地香江,10,6.54,算力租赁,
,300913,兆龙互连,8.92,10.64,连接器,
,300499,高澜股份,8.12,16.43,散热,
,300602,飞荣达,8.02,4.7,散热,
,688668,鼎通科技,29,379,连接器,
,002491,通鼎互联,5.55,9.25,连接器,
,002536,飞龙股份,5.43,21.2,散热,
,300684,中石科技,3.95,8.58,散热,
23.06.14,AI-应用（11（148.85亿,,,,,
,股票代码,股票名称,涨跌幅,成交金额,属性,涨幅
,301159,三维天地,20.01,2.71,数据要素/低代码,
,300148,天舟文化,13.93,17.24,虚拟人,
,688588,凌志软件,10.71,3.92,低代码,
,002995,天地在线,10,11.9,虚拟人,
,603000,人民网,10,21.17,监管大模型,
,603322,超讯通信,10,4.61,junlala,
,000526,学大教育,9.99,2.37,教育,
,000681,视觉中国,9.98,39.75,ai画图,
,300280,紫天科技,9.35,8.44,游戏,
,300688,创业黑马,6.39,13.14,教育,
,300624,万兴科技,4.93,23.6,办公,
23.06.14,消费股（18（107.82亿）,,,,,
,股票代码,股票名称,涨跌幅,成交金额,属性,涨幅
,300094,国联水产,20.08,15.97,水产,
,600059,古越龙山,10.05,5.96,酒,
,600616,金枫酒业,10.05,4.68,酒,
,600257,大湖股份,10.03,4.7,水产,
,601116,三江购物,10.02,554,零售,
,603630,拉芳家化,10.02,115,化妆品,
,605188,国光连锁,10.02,2.36,零售,
,002336,人人乐,10.01,2.01,零售,
,605198,安德利,9.98,1.78,饮料,
,600415,小商品城,9.96,33.7,跨境电商,
,300997,欢乐家,7.42,2.29,饮料,
,600559,老白干酒,7.02,1476,酒,
,000419,通程控股,580,195,零售,
,002561,徐家汇,47,3.34,零售,
,000798,中水渔业,5.29,2.48,水产,
,600197,伊力特,5.18,3.26,酒,
,603237,五芳斋,4.12,131,食品,
,603697,有友食品,3.59,0.58,食品,
23.06.14,汽车-汽配（7（51.00亿）,,,,,
,股票代码,股票名称,涨跌幅,成交金额,属性,涨幅
,600469,风神股份,10.06,5.4,汽车-汽配,
,002472,双环传动,10.02,17.15,汽车-汽配,
,603006,联明股份,10.01,0.87,汽车-汽配,
,002725,跃岭股份,9.99,4.07,汽车-汽配,
,002355,兴民智通,9.96,0.73,汽车-汽配,
,300580,贝斯特,6.84,158,汽车-汽配,
,002536,飞龙股份,5.43,21.2,汽车-汽配,
23.06.14,机器人/工业母机（11）（45.43亿,,,,,
,股票代码,股票名称,涨跌幅,成交金额,属性,涨幅
,300606,金太阳,13.76,3.22,机器人/工业母机,
,603915,国茂股份,10.01,2.26,机器人/工业母机,
,002896,中大力德,9.99,4.93,机器人/工业母机,
,300161,华中数控,8.14,6.48,机器人/工业母机,
,002553,南方精工,6.06,4.02,机器人/工业母机,
,000410,沈阳机床,5.84,4.69,机器人/工业母机,
,603728,鸣志电器,5.82,5.04,机器人/工业母机,
,300747,锐科激光,5.8,55,机器人/工业母机,
,688308,欧科亿,5.77,2.24,机器人/工业母机,
,002903,宇环数控,5.71,2.98,机器人/工业母机,
,300503,志机电,4.29,2.02,机器人/工业母机,
23.06.14,核废水（8（39.17亿）,,,,,
,股票代码,股票名称,涨跌幅,成交金额,属性,涨幅
,300094,国联水产,20.08,15.97,水产品,
,600257,大湖股份,10.03,4.7,水产品,
,000920,沃顿科技,10,1.7,污水处理,
,601065,江盐集团,9.98,5.52,食盐,
,000753,漳州发展,9.91,4.28,污水处理,
,300334,津膜科技,6.67,276,污水处理,
,000798,中水渔业,5.29,2.48,水产品,
,002069,漳子岛,493,1.76,水产品,
