23.06.07,AI-算力（20（190.55亿,,,,,
,股票代码,股票名称,张跌幅,成交金额,属性,涨幅
,300921,南凌科技,20,3.94,网络虚拟化,
,301085,亚康股份,20,10.75,英伟达,
,301183,东田微,20,677,滤光片,
,301366,一博科技,19.99,4.96,AMD,
,301191,菲菱科思,14.79,3.11,交换机,
,301399,英特科技,1289,10.83,散热,
,000988,华工科技,10.01,40.67,光模块,
,002229,鸿博股份,10.01,31.3,服务器,
,002913,奥士康,10.01,5.29,AMD,
,001314,亿道信息,9.98,4.06,AMD,
,605277,新亚电子,9.98,2.22,数据连接,
,300620,光库科技,9.47,18.35,光模块,
,300657,弘信电子,9.34,8.83,原合作,
,688313,仕佳光子,9.34,689,光芯片,
,300913,兆龙互连,8.57,12.02,数据连接,
,301165,锐捷网络,8.21,585,交换机,
,688498,源杰科技,6.59,4.34,光芯片,
,688316,青云科技,6.26,2.42,网络虚拟化,
,688668,鼎通科技,598,1.58,数据连接,
,002281,光迅科技,5.15,10.43,光模块,
23.06.07,AI-行业数据（16）（173.87亿）,,,,,
,股票代码,股票名称,涨跌幅,成交金额,属性,涨幅
,300288,朗玛信息,13.3,16.09,医疗,
,603108,润达医疗,10.04,516,医疗,
,002908,德生科技,10.03,2.34,社保,
,002777,久远银海,10.01,6.39,医疗,
,601858,中国科传,10.01,21.44,数据库,
,603000,人民网,10.01,23.8,确权/监管,
,603918,金桥信息,10.01,35.12,法务,
,603888,新华网,10,13.8,确权/监管,
,603716,塞力医疗,9.99,1.14,医疗,
,688579,山大地纬,7.9,2.55,医疗,
,002401,中远海科,745,20.66,交通,
,301169,零点有数,5.93,186,数据服务,
,000503,国新健康,5.41,7.06,医疗,
,300020,银江技术,4.93,6.33,医疗,
,300451,创业慧康,3.44,4.85,医疗,
,300253,卫宁健康,3.33,5.28,医疗,
23.06.07,AI-出版（10（110.63亿）,,,,,
,股票代码,股票名称,涨跌幅,成交金额,属性,涨幅
,601858,中国科传,10.01,21.44,AI-出版,
,601921,浙版传媒,10.01,7.03,AI-出版,
,601900,南方传媒,10,1798,AI-出版,
,300788,中信出版,8.93,6.92,AI-出版,
,601811,新华文轩,7.91,4.8,AI-出版,
,600825,新华传媒,7.3,452,AI-出版,
,301052,果麦文化,7.22,4.05,AI-出版,
,300654,世纪天鸿,6.23,10.59,AI-出版,
,301025,读客文化,5.8,3.13,AI-出版,
,601949,中国出版,5.3,30.17,AI-出版,
23.06.07,AI-影视（10）（59.11亿）,,,,,
,股票代码,股票名称,涨跌幅,成交金额,属性,涨幅
,601595,上海电影,10,10.22,AI-影视,
,000802,北京文化,9.99,581,AI-影视,
,002905,金逸影视,9.99,1.16,AI-影视,
,601599,浙文影业,9.93,3.92,AI-影视,
,600088,中视传媒,9.21,12.05,AI-影视,
,300528,幸福蓝海,731,2.9,AI-影视,
,600977,中国电影,6.53,11.64,AI-影视,
,603103,横店影视,5.96,2.03,AI-影视,
,603721,中广天择,5.16,4.23,AI-影视,
,300027,华谊兄弟,4.89,5.15,AI-影视,
23.06.07,AI-虚拟人/XR（6）（52.28亿）,,,,,
,股票代码,股票名称,涨跌幅,成交金额,属性,涨幅
,300081,恒信东方,20,19.38,AI-虚拟人/XR,
,002587,奥拓电子,10,3.93,AI-虚拟人/XR,
,600088,中视传媒,9.21,12.05,AI-虚拟人/XR,
,301313,凡拓数创,8.98,7.2,AI-虚拟人/XR,
,688228,开普云,8.47,548,AI-虚拟人/XR,
,688322,奥比中光,7.3,4.24,AI-虚拟人/XR,
23.06.07,复苏-消费（11）（54.28亿）,,,,,
,股票代码,股票名称,涨跌幅,成交金额,属性,涨幅
,600822,上海物贸,10.01,5.1,物流,
,603199,九华旅游,10.01,157,旅游,
,000721,西安饮食,10,11,餐饮,
,002159,三特索道,10,1.41,旅游,
,600706,曲江文旅,8.24,7.76,旅游,
,000610,西安旅游,8,7.45,餐饮,
,000888,峨眉山A,7.21,9.53,旅游,
,603099,长白山,695,1.98,旅游,
,002033,丽江股份,5.44,57,旅游,
,600054,黄山旅游,5.29,2.43,旅游,
,002186,全聚德,4.45,2.48,餐饮,
23.06.07,复苏-地产（8）（15.08亿）,,,,,
,股票代码,股票名称,涨跌幅,成交金额,属性,涨幅
,600683,京投发展,9.97,4.19,复苏-地产,
,600791,京能置业,9.91,2.32,复苏-地产,
,000926,福星股份,8.79,4.17,复苏-地产,
,600665,天地源,6.08,1.43,复苏-地产,
,600159,大龙地产,4.62,0.61,复苏-地产,
,600846,同济科技,4.23,1.1,复苏-地产,
,000886,海南高速,4.22,0.78,复苏-地产,
,600322,天房发展,4,0.48,复苏-地产,
23.06.07,MR硬件（7（47.13亿,,,,,
,股票代码,股票名称,张跌幅,成交金额,属性,涨幅
,688496,清越科技,19.97,2.81,MR硬件,
,301312,智立方,6.95,3.28,MR硬件,
,688079,美迪凯,4.86,1.51,MR硬件,
,300296,利亚德,4.74,385,MR硬件,
,301360,荣旗科技,4.54,376,MR硬件,
,688001,华兴源创,3.54,2.25,MR硬件,
,002475,立讯精密,3.39,29.67,MR硬件,
23.06.07,空间计算（5）（15.83亿）,,,,,
,股票代码,股票名称,涨跌幅,成交金额,属性,涨幅
,300989,蕾奥规划,13.16,5.39,空间计算,
,688109,品茗科技,13.09,1.89,空间计算,
,001314,亿道信息,10,4.06,空间计算,
,605178,时空科技,10,0.3,空间计算,
,600640,国脉文化,6.9,4.19,空间计算,
23.06.07,LED(9（75.52亿）,,,,,
,股票代码,股票名称,张跌幅,成交金额,属性,涨幅
