23.06.06,顺周期-地产链（12）（71.82亿）,,,,,
,股票代码,股票名称,涨跌幅,成交金额,属性,涨幅
,000656,金科股份,10.31,7.99,地产开发,
,000809,铁岭新城,10.08,0.73,地产开发,
,600683,京投发展,10.05,5.87,地产开发,
,000014,沙河股份,9.97,3.07,地产开发,
,603801,志邦家居,6.07,2.84,家居,
,002043,免宝宝,5.69,5.88,建材,
,600266,城建发展,4.49,4.92,地产开发,
,300911,亿田智能,4.3,3.08,厨电,
,000736,中交地产,4.24,1153,地产开发,
,002508,老板电器,2.88,4.03,厨电,
,603208,江山欧派,2.85,1.03,建材,
,002271,东方雨虹,2.8,16.47,建材,
23.06.06,顺周期-基建（8）（46.23亿）,,,,,
,股票代码,股票名称,涨跌幅,成交金额,属性,涨幅
,300989,蕾奥规划,19.99,2.73,顺周期-基建,
,300949,奥雅股份,9.54,2.15,顺周期-基建,
,300500,启迪设计,6.88,3.24,顺周期-基建,
,600629,华建集团,6.52,12.16,顺周期-基建,
,002761,浙江建投,5.16,12.15,顺周期-基建,
,300778,新城市,4.81,5.5,顺周期-基建,
,301038,深水规院,4.43,3.11,顺周期-基建,
,300374,中铁装配,439,3.52,顺周期-基建,
23.06.06,顺周期-消费股（7（27.56亿）,,,,,
,股票代码,股票名称,涨跌幅,成交金额,属性,涨幅
,603779,威龙股份,10,2.71,酒,
,601086,国芳集团,9.92,1.17,零售,
,002697,红旗连锁,831,10.39,零售,
,301078,孩子王,5.59,6.56,零售,
,300947,德必集团,5.32,1.62,零售,
,605188,国光连锁,3.84,1.02,零售,
,000729,燕京啤酒,2.72,3.97,啤酒,
23.06.06,AI-传媒（11）（120.60亿）,,,,,
,股票代码,股票名称,涨跌幅,成交金额,属性,涨幅
,000802,北京文化,10.07,759,影视,
,002292,奥飞娱乐,10.04,15.72,虚拟人,
,601949,中国出版,10.01,29.33,出版,
,600088,中视传媒,10,11.4,虚拟人,
,300949,奥雅股份,9.54,15,虚拟人,
,301313,凡拓数创,5.85,769,虚拟人,
,002995,天地在线,0.74,74,虚拟人,
,002343,慈文传媒,4.21,738,影视,
,600757,长江传媒,3.94,11.41,出版,
,300426,唐德影视,3.89,7.65,影视,
,601595,上海电影,3.81,13.54,影视,
23.06.06,AI-液冷（6）（51.62亿）,,,,,
,股票代码,股票名称,跌幅,成交金额,属性,涨幅
,301399,英特科技,20,6.24,AI-液冷,
,300499,高澜股份,12.3,23.94,AI-液冷,
,002837,英维克,9.99,5.6,AI-液冷,
,603912,佳力图,9.99,5.72,AI-液冷,
,301018,中菱环境,636,7.56,AI-液冷,
,300990,同飞股份,4.45,2.56,AI-液冷,
23.06.06,光伏（7）（89.59亿）,,,,,
,股票代码,股票名称,涨跌幅,成交金额,属性,涨幅
,600732,爱旭股份,10,20.26,光伏,
,002865,达股份,8.6,18.01,光伏,
,300842,帝科股份,7.78,6.09,光伏,
,300776,帝尔激光,7.51,537,光伏,
,002459,晶澳科技,3.89,21.27,光伏,
,300118,东方日升,3.82,9.35,光伏,
,000821,京山轻机,2.96,9.24,光伏,
23.06.06,空间计算（4）（6.02亿）,,,,,
,股票代码,股票名称,涨跌幅,成交金额,属性,涨幅
,300989,蕾奥规划,19.99,2.73,空间计算,
,001314,亿道信息,10,2.26,空间计算,
,605178,时空科技,10,0.99,空间计算,
,688109,品茗科技,2.84,1.03,空间计算,
