23.06.02,新能源-汽车（20）（166.45亿）,,,,,
,股票代码,股票名称,涨跌幅,成交金额,属性,涨幅
,300491,通合科技,14.1,8.94,充电桩,
,688659,元探科技,13.86,3.72,PET铜箔,
,002192,融捷股份,10.01,13.53,矿,
,002240,盛新锂能,10,7.94,锂矿,
,300390,天华新能,8.69,13.26,锂矿,
,300510,金冠股份,8.68,10.62,充电桩,
,603612,索通发展,8.56,3.1,负极,
,603121,华培动力,705,127,汽配,
,300713,英可瑞,7.01,7.04,充电桩,
,688667,菱电电控,6.49,0.59,汽配,
,603799,华友钻业,6.18,13.69,正极,
,000155,川能动力,6.13,4.77,锂矿,
,002497,雅化集团,5.94,6.98,锂矿,
,300351,永贵电器,5.84,3.31,充电桩,
,605133,泰股份,5.84,2.93,汽配,
,002870,香山股份,5.64,2.56,汽配,
,601689,拓集团,5.54,11.2,汽配,
,002466,天齐锂业,5.49,41.3,锂矿,
,600773,西藏城投,5.28,1.63,锂矿,
,002176,江特电机,5.06,6.96,锂矿,
23.06.02,新能源-风电（6）（57.10亿）,,,,,
,股票代码,股票名称,涨跌幅,成交金额,属性,涨幅
,300129,泰胜风能,8.49,9.07,新能源-风电,
,600522,中天科技,587,23.34,新能源-风电,
,300850,新强联,4.87,4.92,新能源-风电,
,002487,大金重工,4.02,11.06,新能源-风电,
,002531,天顺风能,3.54,6.79,新能源-风电,
,603507,振江股份,3.23,192,新能源-风电,
23.06.02,复苏-地产开发（15）（57.13亿）,,,,,
,股票代码,股票名称,涨跌幅,成交金额,属性,涨幅
,000797,中国武夷,10.14,174,复苏-地产开发,
,600683,京投发展,10.08,1.45,复苏-地产开发,
,600658,电子城,10.06,1.73,复苏-地产开发,
,000736,中交地产,10.01,7.45,复苏-地产开发,
,600266,城建发展,9.94,5.11,复苏-地产开发,
,000656,金科股份,9.64,5.11,复苏-地产开发,
,600657,信达地产,7.49,2.23,复苏-地产开发,
,600748,上实发展,6.99,1.92,复苏-地产开发,
,601155,新城控股,6.92,538,复苏-地产开发,
,600503,华丽家族,6.81,4.1,复苏-地产开发,
,002305,南国置业,6.31,169,复苏-地产开发,
,600048,保利发展,6.01,15.79,复苏-地产开发,
,600565,迪马股份,5.96,0.78,复苏-地产开发,
,600159,大龙地产,5.62,0.42,复苏-地产开发,
,000965,天保基建,5.51,2.23,复苏-地产开发,
23.06.02,复苏-地产链（20）（132.32亿）,,,,,
,股票代码,股票名称,张跌幅,成交金额,属性,涨幅
,601636,旗滨集团,10.05,6.47,建材,
,002785,万里石,10.02,2.41,建材,
,002641,公元股份,10,1.51,建材,
,600854,春兰股份,9.92,2.02,白色家电,
,002791,坚朗五金,8.57,3.52,建材,
,603737,三棵树,8.54,2.78,建材,
,002271,东方雨虹,8.22,1786,建材,
,000786,北新建材,761,3.22,建材,
,002372,伟星新材,7.49,3.38,建材,
,300911,亿田智能,7.01,2.44,厨卫,
,002508,老板电器,693,3.24,厨卫,
,002043,免宝宝,657,3.94,建材,
,000546,金园股份,6.5,178,建材,
,603378,亚士创能,6.08,0.69,建材,
,300737,科顺股份,6.03,162,建材,
,600690,海尔智家,6.01,1551,白色家电,
,000333,美的集团,595,25.67,白色家电,
,300894,火星人,5.46,0.7,厨卫,
,000651,格力电器,4.8,26.52,白色家电,
,002011,盾安环境,4.8,2.97,白色家电,
23.06.02,复苏-有色（14（78.15亿）,,,,,
,股票代码,股票名称,涨跌幅,成交金额,属性,涨幅
,603527,众源新材,10.03,1.68,复苏-有色,
,002824,和胜股份,9.99,2.1,复苏-有色,
,601702,华峰铝业,7.19,2.82,复苏-有色,
,601020,华钰矿业,17,4.05,复苏-有色,
,300337,银邦股份,6.82,1.8,复苏-有色,
,601677,明泰铝业,5.9,5.53,复苏-有色,
,003038,铂股份,5.22,0.64,复苏-有色,
,000933,神火股份,5.14,782,复苏-有色,
,601899,紫金矿业,4.89,30.72,复苏-有色,
,000807,云铝股份,4.84,850,复苏-有色,
,300697,电工合金,438,1.03,复苏-有色,
,002532,天山铝业,4.25,0.57,复苏-有色,
,600595,中实业,4.03,0.35,复苏-有色,
,601600,中国铝业,3.86,54,复苏-有色,
23.06.02,复苏-食品饮料（12）（35.60亿）,,,,,
,股票代码,股票名称,涨跌幅,成交金额,属性,涨幅
,603779,威龙股份,9.97,1.74,复苏-食品饮料,
,000716,黑芝麻,9.94,4.54,复苏-食品饮料,
,000848,承德露露,7.08,3.79,复苏-食品饮料,
,600238,海南椰岛,6.46,2.3,复苏-食品饮料,
,600132,重庆啤酒,5.92,8.49,复苏-食品饮料,
,600189,泉阳泉,5.51,1.81,复苏-食品饮料,
,002820,桂发祥,5.33,2.59,复苏-食品饮料,
,603517,绝味食品,4.59,3.67,复苏-食品饮料,
,600199,金种子酒,3.68,4.28,复苏-食品饮料,
,002910,庄园牧场,3.66,0.56,复苏-食品饮料,
,002726,龙大美食,3.6,1.4,复苏-食品饮料,
,002732,燕塘乳业,3.4,0.43,复苏-食品饮料,
23.06.02,AI-XR(10（73.83亿）,,,,,
,股票代码,股票名称,涨跌幅,成交金额,属性,涨幅
,301121,紫建电子,20,2.62,AI-XR,
,002843,泰嘉股份,10.02,4.02,AI-XR,
,605218,伟时电子,10.02,1.08,AI-XR,
,002292,奥飞娱乐,10.01,8.54,AI-XR,
,603629,利通电子,10.01,0.45,AI-XR,
,605588,冠石科技,10.01,4.36,AI-XR,
,000810,创维数字,10,19.6,AI-XR,
