23.05.31,非一字连板（9）(65.56亿）,,,,,
概念,股票代码,股票名称,打板时间,第几板,成交额,涨幅
英伟达,002229,鸿博股份,13:43,5,42.59,
脑机接口,603869,新智认知,09:30,4,0.86,
,002173,创新医疗,09:30,4,0.27,
,600560,金自天正,09:30,2,0.51,
机器人,605118,力鼎光电,09:44,2,2.16,
,600083,博信股份,11:17,2,1.49,
光模块,603803,瑞斯康达,09:30,2,0.68,
,000070,特发信息,13:30,2,10.25,
出版,601900,南方传媒,13:03,2,6.75,
23.05.31,AI(37)(339.61亿）,,,,,
,股票代码,股票名称,打板时间,第几板,成交额,涨幅
英伟达,002229,鸿博股份,13:43,5,42.59,
,603228,景旺电子,09:34,1,7.03,
,002835,同为股份,10:05,1,1.47,
,002463,沪电股份,14:24,1,34.54,
,300344,立方数利,涨幅,18.25,12.89,
脑机接口,603869,新智认知,09:30,4,0.86,
,002173,创新医疗,09:30,4,0.27,
,600560,金自天正,09:30,2,0.51,
,002093,国脉科技,09:30,1,1.59,
,300211,亿通科技,10:14,1,4.59,
,300404,博济医药,涨幅,11.92,8.58,
,300753,爱朋医疗,涨幅,11.62,12.34,
光模块,603803,瑞斯康达,09:30,2,0.68,
,000070,特发信息,13:30,2,10.25,
,300502,新易盛,涨幅,10.64,48.95,
机器人,605118,力鼎光电,09:44,2,2.16,
,600083,博信股份,11:17,2,1.49,
,688322,奥比中光,09:42,1,3.43,
,002889,东方嘉盛,13:17,1,1.69,
,603933,睿能科技,14:43,1,10.37,
,688088,虹软科技,涨幅,13.28,12.83,
,300044,赛为智能,涨幅,11.16,12.15,
国资云 （政务模型,000032,深柔达A,09:32,1,9.23,
,002401,中远海科,10:32,1,10.81,
,002528,英飞拓,13:00,1,11.72,
安全,002232,启明信息,14:27,1,4.36,
,300369,绿盟科技,14:35,1,12.69,
,300895,铜牛信息,14:55,1,7.31,
数据库,688562,航天软件,"13:15 ",1,8.96,
,300977,深圳瑞捷,涨幅,11.83,1.44,
数据管理,605398,新炬网络,10:36,1,1.05,
出版,601900,南方传媒,13:03,2,6.75,
游戏,002919,"名臣健康 ",09:43,1,2.40,
,002306,中科云网,09:40,1,0.57,
,000917,电广传媒,14:45,1,7.39,
设计,600629,华建集团,14:13,1,11.09,
医疗,002777,久远银海,14:40,1,11.09,
23.05.31,芯片半导体（5）（50.75亿）,,,,,
,股票代码,股票名称,打板时间,第几板,成交额,涨幅
存储芯片,688525,佰维存储,13:58,1,12.95,
,603933,睿能科技,14:43,1,10.37,
,605588,冠石科技,10:47,1,2.16,
,300053,欧比特,涨幅,17.10,15.51,
,688361,中科飞测,涨幅,15.55,9.76,
23.05.31,旅游（3）（6.75亿）,,,,,
,股票代码,股票名称,打板时间,第几板,成交额,涨幅
,000888,峨眉山A,09:47,1,2.76,
,603199,九华旅游,11:08,1,2.52,
,603099,长白山,13:51,1,1.47,
23.05.31,MR（3）（12.27亿）,,,,,
,股票代码,股票名称,打板时间,第几板,成交额,涨幅
,002395,双象股份,10:02,1,4.48,
,301321,翰博高新,涨幅,11.87,2.50,
,301360,荣旗科技,涨幅,11.70,5.29,
23.05.31,医药（3）（7.85亿）,,,,,
,股票代码,股票名称,打板时间,第几板,成交额,涨幅
,600833,第一医药,10:26,1,1.03,
,300030,阳普医疗,涨幅,15.68,4.92,
,688468,科美诊断,涨幅,10.18,1.90,
23.05.31,新能源车（2）（5.54亿）,,,,,
,股票代码,股票名称,打板时间,第几板,成交额,涨幅
,605118,力鼎光电,09:44,2,2.16,
,001282,三联锻造,09:43,1,3.38,
23.05.31,其他（6）,,,,,
,股票代码,股票名称,打板时间,第几板,成交额,涨幅
西藏水电站,002827,高争民爆,09:33,1,0.73,
退市整理,600781,退市辅仁,11:18,1,0.07,
免税店,603069,海汽集团,10:44,1,2.78,
彩票,600158,中体产业,14:42,1,10.4,
包装印刷,000659,珠海中富,14:40,1,1.12,
轨交设备,603680,今创集团,09:51,1,0.71,
