23.06.12,汽车-智能驾驶（14）（73.38亿）,,,,,
,股票代码,股票名称,涨跌幅,成交金额,属性,涨幅
,300807,天迈科技,20.01,1.96,汽车-智能驾驶,
,688326,经纬恒润,13.08,4.76,汽车-智能驾驶,
,301007,德迈仕,11.58,2.34,汽车-智能驾驶,
,002355,兴民智通,10.1,0.69,汽车-智能驾驶,
,002729,好利科技,10.01,1.12,汽车-智能驾驶,
,002444,巨星科技,10,4.74,汽车-智能驾驶,
,002813,路畅科技,10,2.07,汽车-智能驾驶,
,002920,德赛西威,10,7.04,汽车-智能驾驶,
,002906,华阳集团,9.99,5.04,汽车-智能驾驶,
,002703,浙江世宝,9.98,5.78,汽车-智能驾驶,
,300496,中科创达,6.8,27.52,汽车-智能驾驶,
,601799,星宇股份,6.36,2.06,汽车-智能驾驶,
,301221,光庭信息,6.33,3.66,汽车-智能驾驶,
,603197,保隆科技,6.17,4.6,汽车-智能驾驶,
23.06.12,汽车-汽配（22）（64.04亿）,,,,,
,股票代码,股票名称,涨跌幅,成交金额,属性,涨幅
,300926,博俊科技,19.99,5.33,汽车-汽配,
,301133,金钟股份,19.99,2.48,汽车-汽配,
,301192,泰祥股份,19.98,3.17,汽车-汽配,
,300969,恒帅股份,13.97,2.62,汽车-汽配,
,300100,双林股份,13.65,3.12,汽车-汽配,
,301119,正强股份,12.88,1.9,汽车-汽配,
,301007,德迈仕,11.58,2.34,汽车-汽配,
,688280,精进电动,10.84,0.64,汽车-汽配,
,002355,兴民智通,10.1,0.69,汽车-汽配,
,002536,飞龙股份,10.03,8.53,汽车-汽配,
,603006,联明股份,10.03,150,汽车-汽配,
,603190,亚通精工,10.02,153,汽车-汽配,
,603917,合力科技,10.02,171,汽车-汽配,
,603348,文灿股份,10.01,2.28,汽车-汽配,
,603596,伯特利,10.01,8.16,汽车-汽配,
,002813,路畅科技,10,2.07,汽车-汽配,
,603730,美股份,10,133,汽车-汽配,
,605133,泰股份,10,2.9,汽车-汽配,
,002906,华阳集团,9.99,5.04,汽车-汽配,
,002997,瑞鸽模具,9.99,2.29,汽车-汽配,
,603286,日盈电子,9.99,1.99,汽车-汽配,
,603335,迪生力,9.97,2.42,汽车-汽配,
23.06.12,AI-算力（19）（356.15亿）,,,,,
,股票代码,股票名称,涨跌幅,成交金额,属性,涨幅
,301205,联特科技,14.45,13.35,光模块,
,300394,天孚通信,10.24,1774,光模块,
,600602,云赛智联,10.04,14.34,数据中心,
,001339,智微智能,10.02,3.45,边缘计算,
,000936,华西股份,10,6.8,光模块,
,600410,华胜天成,10,21.6,数据中心,
,603083,剑桥科技,10,54.52,光模块,
,603779,威龙股份,9.98,2.72,数据中心,
,002261,拓维信息,9.98,5.02,服务器,
,002913,奥士康,9.15,9.79,AMD,
,300913,兆龙互连,9.05,10.33,连接器,
,601138,工业富联,8.71,52.07,服务器,
,688498,源杰科技,8,5.85,光芯片,
,002156,通富微电,6.68,34.9,AMD,
,603629,利通电子,0.65,15.58,算力租赁,
,300570,太辰光,5.62,20.78,光模块,
,300308,中际旭创,5.47,48.02,光模块,
,300620,光库科技,5,17.34,光模块,
,300175,朗源股份,5.02,4.67,算力租赁,
23.06.12,A-应用（11（98.92亿）,,,,,
,股票代码,股票名称,涨跌幅,成交金额,属性,涨幅
,300612,宣亚国际,19.99,9.25,OrangeGPT,
,300271,华宇软件,12.67,12.51,催收,
,300674,宇信科技,10.93,1533,催收,
,688369,致远互联,10.56,2.5,办公,
,002103,广博股份,10.05,1.99,电商,
,002905,金逸影视,9.97,2.24,影视,
,000917,电广传媒,9.96,6.07,游戏,
,002599,盛通股份,9.96,7.09,教育,
,002607,中公教育,745,26.88,教育,
,001330,博纳影业,6.96,4.45,影视,
,002605,姚记科技,5.09,10.61,游戏,
23.06.12,消费-饮料（12）（93.61亿）,,,,,
,股票代码,股票名称,涨跌幅,成交金额,属性,涨幅
,001338,永顺泰,10.01,7.49,啤酒,
,605198,安德利,9.98,0.8,果汁,
,603779,威龙股份,9.96,2.73,葡萄酒,
,600132,重庆啤酒,8.47,12.71,啤酒,
,000799,酒鬼酒,7.03,11.67,白酒,
,600702,舍得酒业,5.78,12.68,白酒,
,600779,水井坊,5.5,4.23,白酒,
,000568,泸州老窖,47,23.39,白酒,
,605337,李子园,5.41,0.69,乳业,
,000729,燕京啤酒,5.26,5.5,啤酒,
,605499,东鹏饮料,4.61,1.38,功能性饮料,
,600600,青岛啤酒,4.59,10.34,啤酒消费,
23.06.12,消费-家电（10）（64.38亿）,,,,,
,股票代码,股票名称,涨跌幅,成交金额,属性,涨幅
,002705,新宝股份,575,2.69,消费-家电,
,603219,富佳股份,5.45,0.75,消费-家电,
,603355,莱克电气,5.32,0.84,消费-家电,
,603486,科沃斯,4.88,3.92,消费-家电,
,688793,倍轻松,4.78,0.27,消费-家电,
,605555,德昌股份,4.53,0.65,消费-家电,
,002959,小熊电器,435,1169,消费-家电,
,002011,盾安环境,4.02,3.32,消费-家电,
,000651,格力电器,250,20.46,消费-家电,
,000333,美的集团,2.21,22.57,消费-家电,
23.06.12,消费-食品（8）（15.18亿）,,,,,
,股票代码,股票名称,涨跌幅,成交金额,属性,涨幅
,603517,绝味食品,8.82,6.08,消费-食品,
,603777,来伊份,5.97,3.25,消费-食品,
,603697,有友食品,5.81,0.47,消费-食品,
,300898,熊猫乳品,5.56,1.42,消费-食品,
,002650,加加食品,5.19,0.77,消费-食品,
,603317,天味食品,4.8,1.16,消费-食品,
,600882,妙可蓝多,4.41,1.46,消费-食品,
,003000,劲仔食品,3.94,0.57,消费-食品,
23.06.12,机器人（11）（65.25亿）,,,,,
,股票代码,股票名称,涨跌幅,成交金额,属性,涨幅
,002050,三花智控,10,21.82,机器人,
,603728,鸣志电器,9.44,5.85,机器人,
