23.05.31,AI-算力（14）（303.58亿,,,,,
,股票代码,股票名称,涨跌幅,成交金额,属性,涨幅
,300053,欧比特,17.1,15.52,边缘soc,
,300502,新易盛,10.64,48.95,光模块,
,002229,鸿博股份,10.01,42.6,服务器,
,002463,沪电股份,10.01,34.54,PCB,
,603228,景旺电子,10,7.03,PCB,
,688256,寒武纪,8.26,34.61,AI芯片,
,301366,博科技,7.72,9.14,PCB,
,603893,瑞芯微,7.4,56,边缘soC,
,688049,芯科技,6.7,2.22,边缘soc,
,000066,中国长城,599,1536,服务器,
,603920,世运电路,5.11,10.03,PCB,
,600839,四川长虹,509,22.59,服务器,
,300613,富瀚微,4.55,3.7,边缘soc,
,300476,胜宏科技,4.09,49.73,PCB,
23.05.31,AI-XR（15）（100.80亿）,,,,,
,股票代码,股票名称,张跌幅,成交金额,属性,涨幅
,688322,奥比中光,20,3.43,英伟达,
,300344,立方数科,18.25,12.9,英伟达,
,688088,虹软科技,13.28,12.83,机器视觉,
,301321,翰博高新,11.87,251,OLED,
,301360,荣旗科技,11.7,5.29,MR/机器视觉,
,002395,双象股份,10,4.49,光学PMMA,
,688001,华兴源创,8.37,1.87,硅基OLED,
,301302,华如科技,7.98,2.67,VR,
,300496,中科创达,6.91,25.11,英伟达,
,688496,清越科技,6.44,3.5,硅基OLED,
,003021,兆威机电,5.86,8.88,瞳距调节,
,000810,创维数字,5.72,6.62,VR,
,301312,智立方,4.7,3.82,MR/机器视觉,
,300949,奥雅股份,3.37,0.88,VR,
,002587,奥拓电子,3.22,6,VR,
23.05.31,AI-游戏传媒（11）（144.59亿）,,,,,
,股票代码,股票名称,涨跌幅,成交金额,属性,涨幅
,002919,名臣健康,10.01,2.4,游戏,
,601900,南方传媒,10.01,6.75,出版,
,300280,紫天科技,8.83,9.06,游戏,
,603258,电魂网络,7.43,11.07,游戏,
,002605,姚记科技,6.04,14.83,游戏,
,601599,浙文影业,4.97,2.93,影视,
,300002,神州泰岳,4.38,32.9,游戏,
,002555,三七互娱,4.05,30.89,游戏,
,300133,华策影视,3.87,5.89,影视,
,300788,中信出版,72,5.63,出版,
,002558,巨人网络,3.48,22.24,游戏,
23.05.31,AI-数据要素（11）（84.99亿）,,,,,
,股票代码,股票名称,涨跌幅,成交金额,属性,涨幅
,300030,阳普医疗,15.68,4.93,医疗信息化,
,002777,久远银海,10.02,11.1,医疗信息化,
,002401,中远海科,10,10.82,数据要素,
,301153,中科江南,9.78,4.68,医疗信息化,
,688246,嘉和美康,6.21,1.16,医疗信息化,
,301339,通行宝,5.14,1.23,数据要素,
,300168,万达信息,4.82,7.66,医疗信息化,
,301299,卓创资讯,4.18,0.86,数据要素,
,300229,拓尔思,3.97,39.77,数据要素,
,300469,信息发展,3.61,151,数据要素,
,301169,零点有数,3.57,1.27,数据要素,
23.05.31,半导体-存储（6）（96.79亿）,,,,,
,股票代码,股票名称,涨跌幅,成交金额,属性,涨幅
,688525,佰维存储,20,12.95,半导体-存储,
,000021,深科技,7.82,41.52,半导体-存储,
,002654,万润科技,5.82,735,半导体-存储,
,001309,德明利,5,5.98,半导体-存储,
,301308,江波龙,4.95,1532,半导体-存储,
,300166,东方国信,4.7,13.67,半导体-存储,
23.05.31,国资云（13）（95.72亿）,,,,,
,股票代码,股票名称,涨跌幅,成交金额,属性,涨幅
,300895,铜牛信息,19.99,7.32,国资云,
,300369,绿盟科技,19.98,12.69,国资云,
,002232,启明信息,10.01,4.37,国资云,
,002528,英飞拓,10.01,11.73,国资云,
,605398,新炬网络,10.01,1.05,国资云,
,000032,深桑达A,10,9.24,国资云,
,002401,中远海科,10,10.82,国资云,
,300212,易华录,8.77,21.09,国资云,
,600225,卓朗科技,6.25,2.76,国资云,
,000948,南天信息,6.05,5.63,国资云,
,301091,深城交,5.75,2.32,国资云,
,301339,通行宝,5.14,123,国资云,
,688561,奇安信,5,5.47,国资云,
23.05.31,脑机接口（8）（30.25亿）,,,,,
,股票代码,股票名称,涨跌幅,成交金额,属性,涨幅
,300211,亿通科技,20.04,4.59,脑机接口,
,300404,博济医药,11.92,8.59,脑机接口,
,300753,爱朋医疗,11.62,12.34,脑机接口,
,002093,国脉科技,10.05,1.6,脑机接口,
,600083,博信股份,10.01,1.49,脑机接口,
,600560,金自天正,9.98,0.51,脑机接口,
,603869,新智认知,9.98,0.86,脑机接口,
,002173,创新医疗,9.96,0.27,脑机接口,
23.05.31,AI-机器人（7（49.05亿）,,,,,
,股票代码,股票名称,涨跌幅,成交金额,属性,涨幅
,300044,赛为智能,11.16,12.16,AI-机器人,
,603933,睿能科技,10,10.37,AI-机器人,
,688017,绿的谐波,8.83,9.88,AI-机器人,
,688160,步科股份,6.94,275,AI-机器人,
,603728,鸣志电器,6.85,9.26,AI-机器人,
,300549,优德精密,6.76,3.16,AI-机器人,
,688320,禾川科技,3.66,1.47,AI-机器人,
23.05.31,旅游（9）（22.37亿）,,,,,
,股票代码,股票名称,涨跌幅,成交金额,属性,涨幅
,000888,峨眉山A,10.05,2.77,旅游,
,603199,九华旅游,10.01,2.52,旅游,
,603099,长白山,9.97,1.48,旅游,
,600054,黄山旅游,7.9,2.49,旅游,
,002159,三特索道,7.27,185,旅游,
,600706,曲江文旅,6.35,533,旅游,
,600749,西藏旅游,4.95,167,旅游,
,002033,丽江股份,4.9,3.1,旅游,
,000978,桂林旅游,4.03,1.16,旅游,
