23.06.13,AI-应用（15）（288.22亿）,,,,,
,股票代码,股票名称,涨跌幅,成交金额,属性,涨幅
,000917,电广传媒,10.05,10.5,游戏/传媒,
,002343,慈文传媒,10.05,5.78,传媒,
,003032,传智教育,10.03,8.06,教育,
,603039,泛微网络,10.01,2.39,办公,
,603533,掌阅科技,10,7.08,阅爱聊,
,603000,人民网,9.96,32.2,人民中科,
,688365,光云科技,9.6,4.08,办公,
,002230,科大讯飞,9.27,115.79,教育/大模型,
,300130,新国都,8.77,15.66,ai绘画,
,300280,紫天科技,8.32,9.15,游戏,
,000681,视觉中国,7.98,27.83,ai绘画,
,002174,游族网络,7.55,34.12,游戏,
,300559,佳发教育,736,2.74,教育,
,300688,创业黑马,6.96,11.05,教育,
,002599,盛通股份,6.4,11.76,教育,
23.06.13,AI-算力（16）（253.98亿）,,,,,
,股票代码,股票名称,涨跌幅,成交金额,属性,涨幅
,300828,锐新科技,20.03,3.93,液冷,
,301085,亚康股份,20,9.43,算力租赁,
,688498,源杰科技,15.01,7.09,光芯片,
,688048,长光华芯,12.73,5.72,光芯片,
,688316,青云科技,12.23,537,算力租赁,
,603887,城地香江,10,406,算力租赁,
,002757,南兴股份,10.02,5.05,算力租赁,
,002897,意华股份,9.99,8.72,光模块,
,002536,飞龙股份,9.98,11.61,液冷,
,000977,浪潮信息,8.6,80.86,服务器,
,688368,晶丰明源,8.6,2.42,电源芯片,
,600105,永鼎股份,6.09,14.99,光模块,
,300394,天孚通信,5.32,15.01,光模块,
,000066,中国长城,5.1,19.29,服务器,
,603019,中科曙光,5.04,68.49,服务器,
,688141,杰华特,4.61,1.05,电源芯片,
23.06.13,AI-多模态数据（8（133.70亿）,,,,,
,股票代码,股票名称,跌幅,成交金额,属性,涨幅
,300413,芒果超媒,10.96,23.52,AI-多模态数据,
,002343,慈文传媒,10.05,5.78,AI-多模态数据,
,000665,湖北广电,9.98,4.46,AI-多模态数据,
,000681,视觉中国,7.98,27.84,AI-多模态数据,
,002236,大华股份,6.58,22.89,AI-多模态数据,
,300182,捷成股份,6.19,1786,AI-多模态数据,
,002415,海康威视,5.76,25.78,AI-多模态数据,
,300133,华策影视,3.97,5.57,AI-多模态数据,
23.06.13,半导体（19）（176.39亿）,,,,,
,股票代码,股票名称,涨跌幅,成交金额,属性,涨幅
,688262,国芯科技,14.66,7.79,aid芯片,
,688259,创耀科技,13.28,3.4,华为,
,688048,长光华芯,12.73,5.72,光芯片,
,688458,美芯晟,11.33,185,华为,
,300260,新莱应材,9.72,6.84,半导体材料,
,603986,兆易创新,8.79,38.69,存储,
,688368,晶丰明源,8.6,2.42,电源芯片,
,688008,澜起科技,7.99,14.12,存储,
,688766,普冉股份,789,2.69,存储,
,688123,聚辰股份,738,353,存储,
,688525,佰维存储,7.2,12.14,存储,
,300223,北京君正,6.76,19,边缘soc,
,688596,正帆科技,676,3.06,半导体材料,
,688608,恒玄科技,6.67,3.13,边缘soc,
,300567,精测电子,6.64,9.11,半导体设备,
,301308,江波龙,5.64,7.48,存储,
,603893,瑞芯微,5.11,4.28,边缘soc,
,300458,全志科技,5.1,11.3,边缘soc,
,688012,中微公司,4.43,19.84,半导体设备,
23.06.13,汽车-汽配（11）（43.67亿）,,,,,
,股票代码,股票名称,涨跌幅,成交金额,属性,涨幅
,301022,海泰科,19.99,1.82,汽车-汽配,
,688533,上声电子,14.91,2.43,汽车-汽配,
,301192,泰祥股份,12.83,71,汽车-汽配,
,603335,迪生力,10.06,0.48,汽车-汽配,
,603009,北特科技,10.04,2.31,汽车-汽配,
,002536,飞龙股份,9.98,11.61,汽车-汽配,
,603006,联明股份,9.97,0.79,汽车-汽配,
,002703,浙江世宝,9.96,7.7,汽车-汽配,
,603730,岱美股份,9.23,3.17,汽车-汽配,
,603109,神驰机电,75,2.61,汽车-汽配,
,603348,文灿股份,506,4.54,汽车-汽配,
23.06.13,汽车-智能驾驶（6）（42.21亿）,,,,,
,股票代码,股票名称,涨跌幅,成交金额,属性,涨幅
,002355,兴民智通,10.07,0.5,汽车-智能驾驶,
,002703,浙江世宝,9.96,7.7,汽车-智能驾驶,
,300807,天迈科技,9.38,650,汽车-智能驾驶,
,002920,德赛西威,7.89,16.71,汽车-智能驾驶,
,603297,永新光学,53,195,汽车-智能驾驶,
,002906,华阳集团,4.76,8.85,汽车-智能驾驶,
23.06.13,智慧电网/充电桩（11）（33.18亿,,,,,
,股票代码,股票名称,涨跌幅,成交金额,属性,涨幅
,300141,和顺电气,20,137,智慧电网/充电桩,
,600268,国电南自,9.99,1.79,智慧电网/充电桩,
,300880,迎南智能,9.2,64,智慧电网/充电桩,
,688100,威胜信息,6.29,1.23,智慧电网/充电桩,
,301162,国能日新,6.22,378,智慧电网/充电桩,
,600525,长园集团,5.85,182,智慧电网/充电桩,
,603556,海兴电力,527,1.89,智慧电网/充电桩,
,300286,安科瑞,4.86,2.1,智慧电网/充电桩,
,300513,恒实科技,4.86,450,智慧电网/充电桩,
,300365,恒华科技,4.81,46,智慧电网/充电桩,
,301120,新特电气,4.79,2.6,智慧电网/充电桩,
